AGEHEAT,ATHOME,CENCDD65,CENH2O,CENHDD65,CENMENBER,CENPDPI,CENPRICES,CENTOTSQFT,CENYEARMADE,CRAWL,DIVISION GROUP,DRAFTY,EDUCATION,HOUSING TYPING,INCOME,KONWRENT,OTHHEAT,RACE,SIZEHEAT,THERMAC,THERMHEAT,TOTKWH,TYPEAC,UR,USEAC,WALLTYPE
41,1,2784.213821138211,1.0552845528455284,2047.6349593495936,2.7626016260162602,12.213821138211381,1720.320325203252,1873.419512195122,1977.0894308943089,0,7,3,1,2,0,2,0,1,-2,1,-2,14287,1,0,2,2
5,1,1644.843648208469,1.0407166123778502,3423.630293159609,2.519543973941368,11.62214983713355,1529.5325732899023,2080.6514657980456,1978.4967426710098,-2,6,3,1,5,0,2,0,2,-2,3,1,8490,2,0,-2,7
1,1,538.3573033707866,1.049438202247191,6316.21797752809,2.710112359550562,13.692134831460674,876.0202247191012,2390.829213483146,1978.1640449438203,1,8,3,5,2,1,1,0,1,-2,3,-2,3305,2,0,-2,7
2,1,1138.521718146718,1.031853281853282,2543.8692084942086,2.85472972972973,13.832528957528957,1082.398166023166,1802.8199806949806,1970.7755791505792,1,10,2,3,2,1,1,0,1,-2,2,0,8532,1,0,1,4
2,1,2385.8089937666964,1.0267141585040072,2380.3619768477292,2.6068566340160286,12.453250222617987,1741.7475512021372,2125.2359750667856,1980.0894924309885,0,5,4,6,2,1,1,0,1,-2,2,1,11649,1,0,3,7
2,0,1138.521718146718,1.031853281853282,2543.8692084942086,2.85472972972973,13.832528957528957,1082.398166023166,1802.8199806949806,1970.7755791505792,-2,10,2,6,5,2,2,0,1,2,0,-2,4381,-2,0,-2,4
3,0,850.0968694624926,1.0395747194329592,6161.639692852924,2.5002953337271117,12.93325457767277,1124.7714116952156,2589.627288836385,1970.367395156527,-2,4,4,5,5,0,2,0,1,-2,3,-2,3070,2,0,-2,3
3,1,3288.1525885558585,1.0463215258855585,2085.6294277929155,2.7302452316076296,13.155313351498638,1499.8228882833787,1997.6566757493188,1985.5286103542235,-2,9,4,5,5,2,2,-2,1,-2,1,-2,9398,1,0,3,4
5,1,2784.213821138211,1.0552845528455284,2047.6349593495936,2.7626016260162602,12.213821138211381,1720.320325203252,1873.419512195122,1977.0894308943089,0,7,1,2,2,2,2,0,1,-2,1,-2,16186,3,0,3,1
3,1,3288.1525885558585,1.0463215258855585,2085.6294277929155,2.7302452316076296,13.155313351498638,1499.8228882833787,1997.6566757493188,1985.5286103542235,0,9,4,5,2,0,2,0,1,-2,1,-2,6618,1,0,1,7
2,0,736.1920180722891,1.0135542168674698,5476.890813253012,2.73644578313253,13.600150602409638,1316.7402108433735,2175.8486445783133,1958.1265060240964,-2,2,4,5,5,0,2,1,2,-2,3,-2,4230,2,0,-2,1
3,1,2784.213821138211,1.0552845528455284,2047.6349593495936,2.7626016260162602,12.213821138211381,1720.320325203252,1873.419512195122,1977.0894308943089,0,7,4,2,2,1,1,0,1,3,2,0,9728,1,1,3,1
5,0,736.1920180722891,1.0135542168674698,5476.890813253012,2.73644578313253,13.600150602409638,1316.7402108433735,2175.8486445783133,1958.1265060240964,-2,2,4,4,5,1,2,1,2,-2,3,-2,2058,2,0,-2,1
5,1,2385.8089937666964,1.0267141585040072,2380.3619768477292,2.6068566340160286,12.453250222617987,1741.7475512021372,2125.2359750667856,1980.0894924309885,0,5,4,3,2,0,2,0,1,1,1,-2,27067,1,0,3,9
42,1,562.5539130434782,1.0095652173913043,6468.218260869565,2.6104347826086958,12.53304347826087,1128.5634782608695,2483.191304347826,1963.4452173913044,1,3,4,5,2,2,1,0,1,-2,3,0,11226,2,0,-2,3
1,1,736.1920180722891,1.0135542168674698,5476.890813253012,2.73644578313253,13.600150602409638,1316.7402108433735,2175.8486445783133,1958.1265060240964,-2,2,4,6,1,1,1,0,1,-2,3,-2,4475,2,0,-2,3
5,1,469.2494669509595,1.0309168443496801,6484.846481876332,2.576759061833689,14.210021321961621,1314.2889125799575,2378.993603411514,1957.1897654584222,0,1,3,1,4,0,2,0,1,-2,0,1,3223,-2,0,-2,3
42,1,562.5539130434782,1.0095652173913043,6468.218260869565,2.6104347826086958,12.53304347826087,1128.5634782608695,2483.191304347826,1963.4452173913044,1,3,4,5,2,1,1,0,1,1,1,-2,6842,1,1,3,3
3,0,736.1920180722891,1.0135542168674698,5476.890813253012,2.73644578313253,13.600150602409638,1316.7402108433735,2175.8486445783133,1958.1265060240964,-2,2,3,1,5,0,2,1,1,-2,3,-2,2729,2,0,-2,1
